Date,Open,High,Low,Close,Volume,status
2025-08-19 02:45:00+05:30,1.166175,1.166175,1.16613,1.166135,-1.0,null
2025-08-19 02:45:30+05:30,1.16613,1.16613,1.16613,1.16613,-1.0,null
2025-08-19 02:46:00+05:30,1.166135,1.166155,1.16613,1.166155,-1.0,null
2025-08-19 02:46:30+05:30,1.166155,1.166155,1.166155,1.166155,-1.0,null
2025-08-19 02:47:00+05:30,1.166155,1.166155,1.166145,1.166145,-1.0,null
2025-08-19 02:47:30+05:30,1.166145,1.166145,1.166145,1.166145,-1.0,null
2025-08-19 02:48:00+05:30,1.166145,1.166145,1.166145,1.166145,-1.0,null
2025-08-19 02:48:30+05:30,1.166145,1.166145,1.166145,1.166145,-1.0,null
2025-08-19 02:49:00+05:30,1.166145,1.16615,1.166145,1.166145,-1.0,null
2025-08-19 02:49:30+05:30,1.166145,1.166155,1.166145,1.16615,-1.0,null
2025-08-19 02:50:00+05:30,1.166145,1.166165,1.166145,1.166165,-1.0,null
2025-08-19 02:50:30+05:30,1.166165,1.16617,1.166165,1.16617,-1.0,null
2025-08-19 02:51:00+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:51:30+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:52:00+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:52:30+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:53:00+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:53:30+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:54:00+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:54:30+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:55:00+05:30,1.16617,1.16617,1.16617,1.16617,-1.0,null
2025-08-19 02:55:30+05:30,1.16617,1.16617,1.166165,1.166165,-1.0,null
2025-08-19 02:56:00+05:30,1.166165,1.166165,1.166165,1.166165,-1.0,null
2025-08-19 02:56:30+05:30,1.166165,1.166165,1.166165,1.166165,-1.0,null
2025-08-19 02:57:00+05:30,1.166165,1.166165,1.166165,1.166165,-1.0,null
2025-08-19 02:57:30+05:30,1.166165,1.166165,1.166165,1.166165,-1.0,null
2025-08-19 02:58:00+05:30,1.166165,1.166215,1.166165,1.16621,-1.0,null
2025-08-19 02:58:30+05:30,1.16621,1.16621,1.1662,1.1662,-1.0,null
2025-08-19 02:59:00+05:30,1.1662,1.16621,1.1662,1.16621,-1.0,null
2025-08-19 02:59:30+05:30,1.16621,1.166215,1.16621,1.166215,-1.0,null
2025-08-19 03:00:00+05:30,1.166215,1.16623,1.166215,1.166225,-1.0,null
2025-08-19 03:00:30+05:30,1.166225,1.16623,1.166215,1.166215,-1.0,null
2025-08-19 03:01:00+05:30,1.166215,1.166225,1.166215,1.166225,-1.0,null
2025-08-19 03:01:30+05:30,1.166225,1.166235,1.166225,1.16623,-1.0,null
2025-08-19 03:02:00+05:30,1.166225,1.166235,1.166225,1.16623,-1.0,null
2025-08-19 03:02:30+05:30,1.16623,1.16624,1.16622,1.16623,-1.0,null
2025-08-19 03:03:00+05:30,1.16623,1.16624,1.16622,1.16623,-1.0,null
2025-08-19 03:03:30+05:30,1.166225,1.16623,1.16617,1.166195,-1.0,null
2025-08-19 03:04:00+05:30,1.166195,1.1662,1.166145,1.166145,-1.0,null
2025-08-19 03:04:30+05:30,1.166145,1.166145,1.166145,1.166145,-1.0,null
2025-08-19 03:05:00+05:30,1.166145,1.16615,1.16612,1.16612,-1.0,null
2025-08-19 03:05:30+05:30,1.16612,1.166125,1.16612,1.166125,-1.0,null
2025-08-19 03:06:00+05:30,1.166125,1.16614,1.16612,1.166125,-1.0,null
2025-08-19 03:06:30+05:30,1.166125,1.166125,1.166125,1.166125,-1.0,null
2025-08-19 03:07:00+05:30,1.166125,1.16613,1.166125,1.16613,-1.0,null
2025-08-19 03:07:30+05:30,1.16613,1.16613,1.16613,1.16613,-1.0,null
2025-08-19 03:08:00+05:30,1.16613,1.16613,1.16613,1.16613,-1.0,null
2025-08-19 03:08:30+05:30,1.16613,1.16613,1.16613,1.16613,-1.0,null
2025-08-19 03:09:00+05:30,1.16613,1.16613,1.16613,1.16613,-1.0,null
2025-08-19 03:09:30+05:30,1.16613,1.166145,1.16611,1.16613,-1.0,null
2025-08-19 03:10:00+05:30,1.16613,1.16613,1.1661,1.166105,-1.0,null
2025-08-19 03:10:30+05:30,1.166105,1.16612,1.166095,1.166095,-1.0,null
2025-08-19 03:11:00+05:30,1.166095,1.166105,1.166095,1.166095,-1.0,null
2025-08-19 03:11:30+05:30,1.166095,1.16611,1.166095,1.166105,-1.0,null
2025-08-19 03:12:00+05:30,1.166105,1.16611,1.166095,1.166095,-1.0,null
2025-08-19 03:12:30+05:30,1.166095,1.166095,1.166095,1.166095,-1.0,null
2025-08-19 03:13:00+05:30,1.166095,1.166095,1.16609,1.166095,-1.0,null
2025-08-19 03:13:30+05:30,1.166095,1.166115,1.16609,1.16609,-1.0,null
2025-08-19 03:14:00+05:30,1.16609,1.16609,1.16608,1.16608,-1.0,null
2025-08-19 03:14:30+05:30,1.16608,1.166085,1.166075,1.166085,-1.0,null
2025-08-19 03:15:00+05:30,1.166085,1.166095,1.166075,1.166085,-1.0,null
2025-08-19 03:15:30+05:30,1.166085,1.166085,1.166085,1.166085,-1.0,null
2025-08-19 03:16:00+05:30,1.166085,1.166095,1.166085,1.166095,-1.0,null
2025-08-19 03:16:30+05:30,1.166095,1.166095,1.166085,1.166085,-1.0,null
2025-08-19 03:17:00+05:30,1.166085,1.166085,1.16608,1.16608,-1.0,null
2025-08-19 03:17:30+05:30,1.16608,1.16609,1.16608,1.16609,-1.0,null
2025-08-19 03:18:00+05:30,1.166085,1.16609,1.16608,1.16608,-1.0,null
2025-08-19 03:18:30+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:19:00+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:19:30+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:20:00+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:20:30+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:21:00+05:30,1.16608,1.16609,1.166075,1.16609,-1.0,null
2025-08-19 03:21:30+05:30,1.16609,1.166105,1.16608,1.1661,-1.0,null
2025-08-19 03:22:00+05:30,1.1661,1.166105,1.16609,1.16609,-1.0,null
2025-08-19 03:22:30+05:30,1.16609,1.16609,1.16609,1.16609,-1.0,null
2025-08-19 03:23:00+05:30,1.16609,1.166115,1.166085,1.166085,-1.0,null
2025-08-19 03:23:30+05:30,1.166085,1.166115,1.16608,1.1661,-1.0,null
2025-08-19 03:24:00+05:30,1.1661,1.166105,1.16608,1.16608,-1.0,null
2025-08-19 03:24:30+05:30,1.16608,1.16608,1.166075,1.166075,-1.0,null
2025-08-19 03:25:00+05:30,1.166075,1.16608,1.166065,1.16608,-1.0,null
2025-08-19 03:25:30+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:26:00+05:30,1.16608,1.16608,1.16608,1.16608,-1.0,null
2025-08-19 03:26:30+05:30,1.16608,1.166085,1.16607,1.16608,-1.0,null
2025-08-19 03:27:00+05:30,1.16608,1.16612,1.16607,1.166115,-1.0,null
2025-08-19 03:27:30+05:30,1.166115,1.166145,1.166095,1.166135,-1.0,null
2025-08-19 03:28:00+05:30,1.166135,1.16614,1.16613,1.16614,-1.0,null
2025-08-19 03:28:30+05:30,1.16614,1.16615,1.166135,1.166145,-1.0,null
2025-08-19 03:29:00+05:30,1.16615,1.166185,1.16613,1.166185,-1.0,null
2025-08-19 03:29:30+05:30,1.166185,1.166215,1.16617,1.16619,-1.0,null
2025-08-19 03:30:00+05:30,1.16619,1.166225,1.166095,1.166125,-1.0,null
2025-08-19 03:30:30+05:30,1.166125,1.166165,1.166125,1.16616,-1.0,null
2025-08-19 03:31:00+05:30,1.16616,1.166305,1.16607,1.16629,-1.0,null
2025-08-19 03:31:30+05:30,1.16629,1.166305,1.166275,1.16629,-1.0,null
2025-08-19 03:32:00+05:30,1.16629,1.16642,1.166185,1.16619,-1.0,null
2025-08-19 03:32:30+05:30,1.16619,1.16625,1.166175,1.16619,-1.0,null
2025-08-19 03:33:00+05:30,1.16619,1.166215,1.166135,1.16615,-1.0,null
2025-08-19 03:33:30+05:30,1.16615,1.166225,1.16615,1.166185,-1.0,null
2025-08-19 03:34:00+05:30,1.166185,1.16621,1.16614,1.16619,-1.0,null
2025-08-19 03:34:30+05:30,1.16619,1.166545,1.16618,1.16653,-1.0,null
2025-08-19 03:35:00+05:30,1.16653,1.16695,1.166525,1.16695,-1.0,null
2025-08-19 03:35:30+05:30,1.16695,1.167035,1.166865,1.16697,-1.0,null
2025-08-19 03:36:00+05:30,1.16697,1.16699,1.166875,1.16699,-1.0,null
2025-08-19 03:36:30+05:30,1.16699,1.167045,1.16699,1.167035,-1.0,null
2025-08-19 03:37:00+05:30,1.167035,1.167035,1.167005,1.167025,-1.0,null
2025-08-19 03:37:30+05:30,1.167025,1.16728,1.167015,1.16726,-1.0,null
2025-08-19 03:38:00+05:30,1.16726,1.167525,1.167255,1.167405,-1.0,null
2025-08-19 03:38:30+05:30,1.167405,1.16746,1.167315,1.16739,-1.0,null
