timestamp,ticker,expiry,strike,premium,orderStatus,clientId,permId,reasonCancelled2025-08-29T10:26:22.932652+05:30,AAPL,20250926,230.0,5.0,Cancelled,2,0,Cancelled by timeout
2025-08-29T10:33:29.622161+05:30,AAPL,20250926,230.0,5.0,Cancelled,2,0,Cancelled by timeout
